match_date,competition,season,home_team,away_team,event_url,home_score,away_score,home_moneyline_decimal,away_moneyline_decimal,handicap_team,handicap_line,handicap_odds_decimal,total_line,over_odds_decimal,under_odds_decimal,source_bookmaker_home_away,source_bookmaker_total,source_bookmaker_handicap
2025-05-24,france-top-14,2024-2025,Castres Olympique,Clermont,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/castres-olympique-clermont-UXgMXwqo/,34,29,1.25,3.75,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2025-05-31,france-top-14,2024-2025,Castres Olympique,Aviron Bayonnais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/castres-olympique-aviron-bayonnais-ELoUdoID/,33,3,1.25,3.75,,,,53.5,1.8333,1.8333,bet365.us,market-average,
2025-05-31,france-top-14,2024-2025,Clermont,Stade Francais Paris,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/clermont-stade-francais-paris-t8mMb7m1/,55,20,1.1701,4.5,,,,53.5,1.8333,1.8333,bet365.us,market-average,
2025-05-31,france-top-14,2024-2025,Racing 92,Montpellier,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/racing-92-montpellier-herault-rc-fXx74cyK/,25,27,1.25,3.75,,,,54.5,1.8333,1.8333,bet365.us,market-average,
2025-05-31,france-top-14,2024-2025,Stade Rochelais,USA Perpignan,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-rochelais-usa-perpignan-feLgegb6/,38,15,1.06,8.0,,,,54.5,1.8333,1.8333,bet365.us,market-average,
2025-05-31,france-top-14,2024-2025,Vannes,Section Paloise,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/rc-vannes-section-paloise-nVHocFTg/,26,52,1.5,2.5,,,,54.5,1.8333,1.8333,bet365.us,market-average,
2025-06-01,france-top-14,2024-2025,RC Toulonnais,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/rc-toulonnais-bordeaux-begles-QFTxayas/,27,10,1.06,8.0,,,,57.5,1.8333,1.8333,bet365.us,market-average,
2025-06-01,france-top-14,2024-2025,Stade Toulousain,Lyon,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-toulousain-lyon-z5T1gXSI/,43,3,1.03,10.5,,,,62.5,1.8333,1.8333,bet365.us,market-average,
2025-06-07,france-top-14,2024-2025,Aviron Bayonnais,RC Toulonnais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/aviron-bayonnais-rc-toulonnais-SbGmHzLP/,18,10,1.33,3.25,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2025-06-07,france-top-14,2024-2025,Bordeaux Begles,Vannes,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/bordeaux-begles-rc-vannes-GMgeDRJi/,59,28,1.02,11.0,,,,,,,bet365.us,,
